,number_points,mean_overlap,lb,ub
0,-1.0,0.7807673982625621,0.7783207461672108,0.7831458074450971
1,3.0,0.7293664468492558,0.7269084132485993,0.7317463236745837
2,4.0,0.7660849872718823,0.7634391330998869,0.7687222272853965
3,5.0,0.7773015804532651,0.7747006746455848,0.7796977253029362
4,6.0,0.7753016023533492,0.7726823104195025,0.7778505098253324
5,7.0,0.7790478321636323,0.7765121256039313,0.7814806587080385
6,8.0,0.7782128678228879,0.7757316785968525,0.7808292487897499
7,10.0,0.7787614096371055,0.7760517196470919,0.7812638136369657
8,15.0,0.7790603302467829,0.7766423206282809,0.7815177895889485
9,50.0,0.752269550073599,0.7493172920780135,0.7548757382801398
