,task_name,x_cont,x_cat,y
0,Schwefel,0.0,0.0,476.78748293721645
1,Schwefel,0.001001001,0.0,487.61380014920115
2,Schwefel,0.002002002,0.0,498.4937021332222
3,Schwefel,0.003003003,0.0,509.4212731346199
4,Schwefel,0.004004004,0.0,520.3915673718652
5,Schwefel,0.005005005,0.0,531.3986126033019
6,Schwefel,0.006006006,0.0,542.4367442909693
7,Schwefel,0.007007007,0.0,553.5002759710042
8,Schwefel,0.008008008,0.0,564.5831639692042
9,Schwefel,0.009009009,0.0,575.6803624776634
10,Schwefel,0.01001001,0.0,586.7857988338887
11,Schwefel,0.011011011,0.0,597.8937276156107
12,Schwefel,0.012012012,0.0,608.9983959599156
13,Schwefel,0.013013013,0.0,620.0937084476088
14,Schwefel,0.014014014,0.0,631.1745829223196
15,Schwefel,0.015015014,0.0,642.2349235910182
16,Schwefel,0.016016016,0.0,653.2689775998452
17,Schwefel,0.017017016,0.0,664.270999618351
18,Schwefel,0.018018018,0.0,675.2349212421414
19,Schwefel,0.019019019,0.0,686.155689978998
20,Schwefel,0.02002002,0.0,697.0272664458845
21,Schwefel,0.021021022,0.0,707.843965849255
22,Schwefel,0.022022022,0.0,718.6001261817364
23,Schwefel,0.023023022,0.0,729.2897864553165
24,Schwefel,0.024024025,0.0,739.9079914031621
25,Schwefel,0.025025025,0.0,750.4488388728672
26,Schwefel,0.026026025,0.0,760.9067887359137
27,Schwefel,0.027027026,0.0,771.276339018687
28,Schwefel,0.028028028,0.0,781.5517171834178
29,Schwefel,0.029029028,0.0,791.728133451328
30,Schwefel,0.030030029,0.0,801.7999039684659
31,Schwefel,0.031031031,0.0,811.7617100026904
32,Schwefel,0.03203203,0.0,821.6082862479084
33,Schwefel,0.033033032,0.0,831.3341292168425
34,Schwefel,0.034034032,0.0,840.9346826824287
35,Schwefel,0.035035033,0.0,850.4045613186654
36,Schwefel,0.036036037,0.0,859.7387436116323
37,Schwefel,0.037037037,0.0,868.9322764347194
38,Schwefel,0.038038038,0.0,877.9800044066421
39,Schwefel,0.039039038,0.0,886.877671772025
